Gender,Race,Event Type,Date,Comments
F,4,Striking -Staff or other,12/14/2021,Student began striking bus monitor as she was being loaded ont the bus in face/head in front of parent. Naveah continued using profanity and displayed aggressive behavior even after parent corrections. 5th incident
F,4,Striking -Staff or other,9/3/2021,On 9/2 and 9/3 Naveah struck drivers arm and assistant on several occasions in the am and pm run. Parents were present for AM run. Naveah used profanity and kicked her leg out of restraint and physically struck another student. Driver had to remove her grip off other student. 
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/26/2022,Phone out in class. 1st incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/26/2022,Phone out in class. 1st incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/26/2022,Phone out in class. 1st incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/26/2022,Phone out in class. 1st incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/26/2022,Phone out in class. 1st incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/26/2022,Phone out in class. 1st incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/26/2022,Phone out in class. 1st incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,10/19/2021,Patrisiya sent an email asking about her daily progression grade relating to leaving money in her drawer.  She didn't believe the teacher was being truthful and then demanded to see camera photos.  Camera showed she left money in drawer.  She was loud talking and did this in front of the class.
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/23/2021,"passing phone with peer, 1st  incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Talking out in class,10/19/2021,Patrisiya sent an email asking about her daily progression grade relating to leaving money in her drawer.  She didn't believe the teacher was being truthful and then demanded to see camera photos.  Camera showed she left money in drawer.  She was loud talking and did this in front of the class.
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/23/2021,"passing phone with peer, 1st  incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Talking out in class,10/19/2021,Patrisiya sent an email asking about her daily progression grade relating to leaving money in her drawer.  She didn't believe the teacher was being truthful and then demanded to see camera photos.  Camera showed she left money in drawer.  She was loud talking and did this in front of the class.
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/23/2021,"passing phone with peer, 1st  incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Talking out in class,10/19/2021,Patrisiya sent an email asking about her daily progression grade relating to leaving money in her drawer.  She didn't believe the teacher was being truthful and then demanded to see camera photos.  Camera showed she left money in drawer.  She was loud talking and did this in front of the class.
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/23/2021,"passing phone with peer, 1st  incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Talking out in class,10/19/2021,Patrisiya sent an email asking about her daily progression grade relating to leaving money in her drawer.  She didn't believe the teacher was being truthful and then demanded to see camera photos.  Camera showed she left money in drawer.  She was loud talking and did this in front of the class.
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/23/2021,"passing phone with peer, 1st  incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Talking out in class,10/19/2021,Patrisiya sent an email asking about her daily progression grade relating to leaving money in her drawer.  She didn't believe the teacher was being truthful and then demanded to see camera photos.  Camera showed she left money in drawer.  She was loud talking and did this in front of the class.
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/23/2021,"passing phone with peer, 1st  incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Talking out in class,10/19/2021,Patrisiya sent an email asking about her daily progression grade relating to leaving money in her drawer.  She didn't believe the teacher was being truthful and then demanded to see camera photos.  Camera showed she left money in drawer.  She was loud talking and did this in front of the class.
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/23/2021,"passing phone with peer, 1st  incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Dress Code Violation,8/16/2021,DC
F,4,Dress Code Violation,8/16/2021,DC
F,4,Dress Code Violation,8/16/2021,DC
F,4,Dress Code Violation,8/16/2021,DC
F,4,Dress Code Violation,8/16/2021,DC
F,4,Dress Code Violation,8/16/2021,DC
F,4,Dress Code Violation,8/16/2021,DC
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/18/2021,"phone usage, 3rd incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/17/2021,1st __ incident for cellphone.  Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/27/2021,Had phone out.  1st__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/31/2022,"she was on her phone during class 

__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/18/2021,"phone usage, 3rd incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/17/2021,1st __ incident for cellphone.  Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/27/2021,Had phone out.  1st__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/31/2022,"she was on her phone during class 

__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/18/2021,"phone usage, 3rd incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/17/2021,1st __ incident for cellphone.  Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/27/2021,Had phone out.  1st__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/31/2022,"she was on her phone during class 

__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/18/2021,"phone usage, 3rd incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/17/2021,1st __ incident for cellphone.  Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/27/2021,Had phone out.  1st__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/31/2022,"she was on her phone during class 

__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/18/2021,"phone usage, 3rd incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/17/2021,1st __ incident for cellphone.  Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/27/2021,Had phone out.  1st__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/31/2022,"she was on her phone during class 

__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/18/2021,"phone usage, 3rd incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/17/2021,1st __ incident for cellphone.  Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/27/2021,Had phone out.  1st__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/31/2022,"she was on her phone during class 

__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/18/2021,"phone usage, 3rd incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/17/2021,1st __ incident for cellphone.  Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,9/27/2021,Had phone out.  1st__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Violation of Personal Electronic/Telecommunication Device Policy,1/31/2022,"she was on her phone during class 

__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,2/15/2022,"Phone, not participating
_1st_ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,2/15/2022,"Phone, not participating
_1st_ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,2/15/2022,"Phone, not participating
_1st_ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,2/15/2022,"Phone, not participating
_1st_ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,2/15/2022,"Phone, not participating
_1st_ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,2/15/2022,"Phone, not participating
_1st_ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Violation of Personal Electronic/Telecommunication Device Policy,2/15/2022,"Phone, not participating
_1st_ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Inappropriate use of a mobile device ,8/12/2021,phone out during class
F,4,Non-attendance to class/cutting class,1/28/2022,cut 2nd
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/3/2021,Texting on phone in class. __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,10/14/2021,She spoke rudely to teacher when asked to put a snack away
F,4,Inappropriate use of a mobile device ,8/12/2021,phone out during class
F,4,Non-attendance to class/cutting class,1/28/2022,cut 2nd
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/3/2021,Texting on phone in class. __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,10/14/2021,She spoke rudely to teacher when asked to put a snack away
F,4,Inappropriate use of a mobile device ,8/12/2021,phone out during class
F,4,Non-attendance to class/cutting class,1/28/2022,cut 2nd
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/3/2021,Texting on phone in class. __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,10/14/2021,She spoke rudely to teacher when asked to put a snack away
F,4,Inappropriate use of a mobile device ,8/12/2021,phone out during class
F,4,Non-attendance to class/cutting class,1/28/2022,cut 2nd
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/3/2021,Texting on phone in class. __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,10/14/2021,She spoke rudely to teacher when asked to put a snack away
F,4,Inappropriate use of a mobile device ,8/12/2021,phone out during class
F,4,Non-attendance to class/cutting class,1/28/2022,cut 2nd
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/3/2021,Texting on phone in class. __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,10/14/2021,She spoke rudely to teacher when asked to put a snack away
F,4,Inappropriate use of a mobile device ,8/12/2021,phone out during class
F,4,Non-attendance to class/cutting class,1/28/2022,cut 2nd
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/3/2021,Texting on phone in class. __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,10/14/2021,She spoke rudely to teacher when asked to put a snack away
F,4,Inappropriate use of a mobile device ,8/12/2021,phone out during class
F,4,Non-attendance to class/cutting class,1/28/2022,cut 2nd
F,4,Violation of Personal Electronic/Telecommunication Device Policy,11/3/2021,Texting on phone in class. __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,10/14/2021,She spoke rudely to teacher when asked to put a snack away
F,4,Leaving class without permission,10/19/2021,Left ROTC without permission when angry about wet shoes
F,4,Profanity or Vulgarity,2/16/2022,"Interrupted class ""Fuck"" yelled as exiting room!"
F,4,Leaving class without permission,10/19/2021,Left ROTC without permission when angry about wet shoes
F,4,Profanity or Vulgarity,2/16/2022,"Interrupted class ""Fuck"" yelled as exiting room!"
F,4,Leaving class without permission,10/19/2021,Left ROTC without permission when angry about wet shoes
F,4,Profanity or Vulgarity,2/16/2022,"Interrupted class ""Fuck"" yelled as exiting room!"
F,4,Leaving class without permission,10/19/2021,Left ROTC without permission when angry about wet shoes
F,4,Profanity or Vulgarity,2/16/2022,"Interrupted class ""Fuck"" yelled as exiting room!"
F,4,Leaving class without permission,10/19/2021,Left ROTC without permission when angry about wet shoes
F,4,Profanity or Vulgarity,2/16/2022,"Interrupted class ""Fuck"" yelled as exiting room!"
F,4,Leaving class without permission,10/19/2021,Left ROTC without permission when angry about wet shoes
F,4,Profanity or Vulgarity,2/16/2022,"Interrupted class ""Fuck"" yelled as exiting room!"
F,4,Leaving class without permission,10/19/2021,Left ROTC without permission when angry about wet shoes
F,4,Profanity or Vulgarity,2/16/2022,"Interrupted class ""Fuck"" yelled as exiting room!"
F,4,Dress Code Violation,9/9/2021,DC
F,4,Dress Code Violation,1/26/2022,DC - pants called home. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident.
F,4,Dress Code Violation,11/2/2021,"dc-pants

__ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Dress Code Violation,9/9/2021,DC
F,4,Dress Code Violation,1/26/2022,DC - pants called home. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident.
F,4,Dress Code Violation,11/2/2021,"dc-pants

__ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Dress Code Violation,9/9/2021,DC
F,4,Dress Code Violation,1/26/2022,DC - pants called home. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident.
F,4,Dress Code Violation,11/2/2021,"dc-pants

__ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Dress Code Violation,9/9/2021,DC
F,4,Dress Code Violation,1/26/2022,DC - pants called home. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident.
F,4,Dress Code Violation,11/2/2021,"dc-pants

__ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Dress Code Violation,9/9/2021,DC
F,4,Dress Code Violation,1/26/2022,DC - pants called home. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident.
F,4,Dress Code Violation,11/2/2021,"dc-pants

__ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Dress Code Violation,9/9/2021,DC
F,4,Dress Code Violation,1/26/2022,DC - pants called home. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident.
F,4,Dress Code Violation,11/2/2021,"dc-pants

__ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Dress Code Violation,9/9/2021,DC
F,4,Dress Code Violation,1/26/2022,DC - pants called home. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident.
F,4,Dress Code Violation,11/2/2021,"dc-pants

__ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Leaving class without permission,11/22/2021,"Student asked to use restroom and walked out when told ""no"".  Student slammed door on her way out."
F,4,Talking out in class,10/21/2021,"Fatima refused to sit or move to her asigned seat.  I sent her to the front office, not esure if she went, she said she wasn't going and left the room. "
F,4,Talking out in class,12/6/2021,"while I was disciplining another student for a phone violation, Fatima decided to give her 2 cents worth and after I asked her to stop she continued to disrupt by complaining about my enforcement of policy"
F,4,Leaving class without permission,11/22/2021,"Student asked to use restroom and walked out when told ""no"".  Student slammed door on her way out."
F,4,Talking out in class,10/21/2021,"Fatima refused to sit or move to her asigned seat.  I sent her to the front office, not esure if she went, she said she wasn't going and left the room. "
F,4,Talking out in class,12/6/2021,"while I was disciplining another student for a phone violation, Fatima decided to give her 2 cents worth and after I asked her to stop she continued to disrupt by complaining about my enforcement of policy"
F,4,Leaving class without permission,11/22/2021,"Student asked to use restroom and walked out when told ""no"".  Student slammed door on her way out."
F,4,Talking out in class,10/21/2021,"Fatima refused to sit or move to her asigned seat.  I sent her to the front office, not esure if she went, she said she wasn't going and left the room. "
F,4,Talking out in class,12/6/2021,"while I was disciplining another student for a phone violation, Fatima decided to give her 2 cents worth and after I asked her to stop she continued to disrupt by complaining about my enforcement of policy"
F,4,Leaving class without permission,11/22/2021,"Student asked to use restroom and walked out when told ""no"".  Student slammed door on her way out."
F,4,Talking out in class,10/21/2021,"Fatima refused to sit or move to her asigned seat.  I sent her to the front office, not esure if she went, she said she wasn't going and left the room. "
F,4,Talking out in class,12/6/2021,"while I was disciplining another student for a phone violation, Fatima decided to give her 2 cents worth and after I asked her to stop she continued to disrupt by complaining about my enforcement of policy"
F,4,Leaving class without permission,11/22/2021,"Student asked to use restroom and walked out when told ""no"".  Student slammed door on her way out."
F,4,Talking out in class,10/21/2021,"Fatima refused to sit or move to her asigned seat.  I sent her to the front office, not esure if she went, she said she wasn't going and left the room. "
F,4,Talking out in class,12/6/2021,"while I was disciplining another student for a phone violation, Fatima decided to give her 2 cents worth and after I asked her to stop she continued to disrupt by complaining about my enforcement of policy"
F,4,Leaving class without permission,11/22/2021,"Student asked to use restroom and walked out when told ""no"".  Student slammed door on her way out."
F,4,Talking out in class,10/21/2021,"Fatima refused to sit or move to her asigned seat.  I sent her to the front office, not esure if she went, she said she wasn't going and left the room. "
F,4,Talking out in class,12/6/2021,"while I was disciplining another student for a phone violation, Fatima decided to give her 2 cents worth and after I asked her to stop she continued to disrupt by complaining about my enforcement of policy"
F,4,Leaving class without permission,11/22/2021,"Student asked to use restroom and walked out when told ""no"".  Student slammed door on her way out."
F,4,Talking out in class,10/21/2021,"Fatima refused to sit or move to her asigned seat.  I sent her to the front office, not esure if she went, she said she wasn't going and left the room. "
F,4,Talking out in class,12/6/2021,"while I was disciplining another student for a phone violation, Fatima decided to give her 2 cents worth and after I asked her to stop she continued to disrupt by complaining about my enforcement of policy"
F,4,Leaving class without permission,12/3/2021,Student walked out of class with sub without permission. 
F,4,Dress Code Violation,10/7/2021,"DC - pants, told untruth regarding dress code violation correction.  She said she had biker shorts. It's the only reason I sent her over to G.O. (waste of time)  1st  incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident"
F,4,Dress Code Violation,10/20/2021,"DC - pants, called home - no one coming. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Leaving class without permission,12/3/2021,Student walked out of class with sub without permission. 
F,4,Dress Code Violation,10/7/2021,"DC - pants, told untruth regarding dress code violation correction.  She said she had biker shorts. It's the only reason I sent her over to G.O. (waste of time)  1st  incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident"
F,4,Dress Code Violation,10/20/2021,"DC - pants, called home - no one coming. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Leaving class without permission,12/3/2021,Student walked out of class with sub without permission. 
F,4,Dress Code Violation,10/7/2021,"DC - pants, told untruth regarding dress code violation correction.  She said she had biker shorts. It's the only reason I sent her over to G.O. (waste of time)  1st  incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident"
F,4,Dress Code Violation,10/20/2021,"DC - pants, called home - no one coming. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Leaving class without permission,12/3/2021,Student walked out of class with sub without permission. 
F,4,Dress Code Violation,10/7/2021,"DC - pants, told untruth regarding dress code violation correction.  She said she had biker shorts. It's the only reason I sent her over to G.O. (waste of time)  1st  incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident"
F,4,Dress Code Violation,10/20/2021,"DC - pants, called home - no one coming. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Leaving class without permission,12/3/2021,Student walked out of class with sub without permission. 
F,4,Dress Code Violation,10/7/2021,"DC - pants, told untruth regarding dress code violation correction.  She said she had biker shorts. It's the only reason I sent her over to G.O. (waste of time)  1st  incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident"
F,4,Dress Code Violation,10/20/2021,"DC - pants, called home - no one coming. __ incident for dress code.  Student is given opportunity to correct and can return to class the following period once in dress code.  Ring central text sent home at every incident."
F,4,Talking out in class,11/5/2021,arguing
F,4,Profanity or Vulgarity towards student/staff,1/6/2022,We were using cell phones to register for a JROTC web-based classroom.  I asked Willa if she was finished.  She stated no and that she'd do it later.  I instructed her to complete registration now and that was when she used profanity.  I asked her to step into the hallway where she continued to curse.  At that time I sent her to the AP Office.
F,4,Talking out in class,11/5/2021,arguing
F,4,Profanity or Vulgarity towards student/staff,1/6/2022,We were using cell phones to register for a JROTC web-based classroom.  I asked Willa if she was finished.  She stated no and that she'd do it later.  I instructed her to complete registration now and that was when she used profanity.  I asked her to step into the hallway where she continued to curse.  At that time I sent her to the AP Office.
F,4,Talking out in class,11/5/2021,arguing
F,4,Profanity or Vulgarity towards student/staff,1/6/2022,We were using cell phones to register for a JROTC web-based classroom.  I asked Willa if she was finished.  She stated no and that she'd do it later.  I instructed her to complete registration now and that was when she used profanity.  I asked her to step into the hallway where she continued to curse.  At that time I sent her to the AP Office.
F,4,Talking out in class,11/5/2021,arguing
F,4,Profanity or Vulgarity towards student/staff,1/6/2022,We were using cell phones to register for a JROTC web-based classroom.  I asked Willa if she was finished.  She stated no and that she'd do it later.  I instructed her to complete registration now and that was when she used profanity.  I asked her to step into the hallway where she continued to curse.  At that time I sent her to the AP Office.
F,4,Talking out in class,11/5/2021,arguing
F,4,Profanity or Vulgarity towards student/staff,1/6/2022,We were using cell phones to register for a JROTC web-based classroom.  I asked Willa if she was finished.  She stated no and that she'd do it later.  I instructed her to complete registration now and that was when she used profanity.  I asked her to step into the hallway where she continued to curse.  At that time I sent her to the AP Office.
F,4,Talking out in class,11/5/2021,arguing
F,4,Profanity or Vulgarity towards student/staff,1/6/2022,We were using cell phones to register for a JROTC web-based classroom.  I asked Willa if she was finished.  She stated no and that she'd do it later.  I instructed her to complete registration now and that was when she used profanity.  I asked her to step into the hallway where she continued to curse.  At that time I sent her to the AP Office.
F,4,Talking out in class,11/5/2021,arguing
F,4,Profanity or Vulgarity towards student/staff,1/6/2022,We were using cell phones to register for a JROTC web-based classroom.  I asked Willa if she was finished.  She stated no and that she'd do it later.  I instructed her to complete registration now and that was when she used profanity.  I asked her to step into the hallway where she continued to curse.  At that time I sent her to the AP Office.
F,4,Dress Code Violation,8/24/2021,"dc-pants, corrected"
F,4,Dress Code Violation,8/24/2021,"dc-pants, corrected"
F,4,Dress Code Violation,8/24/2021,"dc-pants, corrected"
F,4,Dress Code Violation,8/24/2021,"dc-pants, corrected"
F,4,Dress Code Violation,8/24/2021,"dc-pants, corrected"
F,4,Profanity or Vulgarity towards student/staff,11/11/2021,"Slamming chairs. Saying, ""I'm tired of the fucking announcements>"" Head down- asked to sit up. ""Stop fucking talking to me."" Then told teacher to shut up. Refused to sit up. Asked to wake up. Cussed teacher out with F bombs. Asked teacher, ""What are you in my face?"" I'm going to fucking cuss you. I don't even fucking like you. Leave me the fuck alone. Continued cussing at teacher and walked out. "
F,4,Talking out in class,11/15/2021,"I have to stop class so she can stop ranting!  Beginning of class I'm trying to start, she is singing out loud.  Asked to please stop.  Second proceeded to blast me-""I don't like you and you can't write me up for that so just shut up-don't talk to me and leave me alone."""
F,4,Violation of Personal Electronic/Telecommunication Device Policy,12/6/2021,"Refused to put up cell phone the entire class, extreme disruption entire class.  Insults of how much she hates me & my projects stupid!  __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
F,4,Drug Under the Influence,12/8/2021,Student came to school smelling of marijuana.  Student smoked before school. 
F,4,Violation of Personal Electronic/Telecommunication Device Policy,10/20/2021,__ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented
F,4,Talking out in class,8/30/2021,Jumanah was given multiple opportunities to calm down but refused to be quiet.  She was not happy that she had to be quiet and raised her hand to ask a question
F,4,Fighting - Student to Student,12/13/2021,"Students had previous history of not liking each other. Seperate student told Student A that Student B said she was going to fight Student A when she saw her. Seconds later students walked by each other and Student B asked Student A if she wanted to fight. Both student began punching each other. Students had to be separated by multiple staff members and students. Staff members were able to step in between the students once they got separated by temporary touching and redirection. This created a dangerous situation for many students and staff members due to the size of the crowd. Following the incident, several reports of associated students posting threats and next steps towards each student were reported to AP's. Alternative Placement Recommended."
F,4,Violation of Personal Electronic/Telecommunication Device Policy,12/7/2021,"cell, __ incident for cellphone. Numerous contacts home made (documented in PLP and Ring Central) and conference held. Progressive discipline will be implemented"
